PLACA,DATA,LOCAL,VELOCIDADE,VELOCIDADE VIA,LATITUDE,LONGITUDE,ULTRAPASSADO
ANT0001,2024-04-16 23:33:42,"R Casarejos, 924 ao 1038 - Vila Mogilar, Mogi Das Cruzes - SP, 08773300, Brasil",0,40,-23.51640300,-46.19078000,
ANT0001,2024-04-16 23:33:42,"R Casarejos, 924 ao 1038 - Vila Mogilar, Mogi Das Cruzes - SP, 08773300, Brasil",0,40,-23.51640300,-46.19078000,
ANT0001,2024-04-16 23:13:45,"R Casarejos, 924 ao 1038 - Vila Mogilar, Mogi Das Cruzes - SP, 08773300, Brasil",0,40,-23.51640300,-46.19078000,
ANT0001,2024-04-16 22:13:45,"R Casarejos, 924 ao 1038 - Vila Mogilar, Mogi Das Cruzes - SP, 08773300, Brasil",0,40,-23.51640300,-46.19078000,
ANT0001,2024-04-16 21:13:49,"R Casarejos, 924 ao 1038 - Vila Mogilar, Mogi Das Cruzes - SP, 08773300, Brasil",0,40,-23.51640300,-46.19078000,
ANT0001,2024-04-16 21:13:49,"R Casarejos, 924 ao 1038 - Vila Mogilar, Mogi Das Cruzes - SP, 08773300, Brasil",0,40,-23.51640300,-46.19078000,
ANT0001,2024-04-16 21:13:45,"R Casarejos, 924 ao 1038 - Vila Mogilar, Mogi Das Cruzes - SP, 08773300, Brasil",0,40,-23.51640300,-46.19078000,
ANT0001,2024-04-16 20:13:45,"R Casarejos, 924 ao 1038 - Vila Mogilar, Mogi Das Cruzes - SP, 08773300, Brasil",0,40,-23.51640300,-46.19078000,
ANT0001,2024-04-16 19:43:18,"R Casarejos, 924 ao 1038 - Vila Mogilar, Mogi Das Cruzes - SP, 08773300, Brasil",0,40,-23.51640300,-46.19078000,
ANT0001,2024-04-16 19:43:18,"R Casarejos, 924 ao 1038 - Vila Mogilar, Mogi Das Cruzes - SP, 08773300, Brasil",0,40,-23.51640300,-46.19078000,
