PLACA,DATA,LOCAL,VELOCIDADE,VELOCIDADE VIA,LATITUDE,LONGITUDE,ULTRAPASSADO
FAH6577,2024-04-19 13:10:10,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",0,40,-23.53628500,-46.20812200,
FAH6577,2024-04-19 12:25:03,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",1,40,-23.53628500,-46.20812200,
FAH6577,2024-04-19 12:23:05,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",1,40,-23.53628500,-46.20812200,
FAH6577,2024-04-19 12:23:03,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",2,40,-23.53628500,-46.20812200,
FAH6577,2024-04-19 12:23:02,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",0,40,-23.53628500,-46.20812200,
FAH6577,2024-04-19 12:21:18,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",0,40,-23.53628500,-46.20812200,
FAH6577,2024-04-19 12:10:10,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",1,40,-23.53628500,-46.20812200,
FAH6577,2024-04-19 11:10:10,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",1,40,-23.53628500,-46.20812200,
FAH6577,2024-04-19 10:10:10,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",0,40,-23.53628500,-46.20812200,
FAH6577,2024-04-19 09:10:52,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",3,40,-23.53628500,-46.20812200,
FAH6577,2024-04-19 09:10:10,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",2,40,-23.53628500,-46.20812200,
FAH6577,2024-04-19 09:08:52,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",1,40,-23.53628500,-46.20812200,
FAH6577,2024-04-19 09:08:10,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",14,40,-23.53627200,-46.20809800,
FAH6577,2024-04-19 09:06:52,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",0,40,-23.53643200,-46.20822300,
FAH6577,2024-04-19 09:06:51,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",0,40,-23.53643200,-46.20822300,
FAH6577,2024-04-19 09:06:10,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",0,40,-23.53645300,-46.20818500,
FAH6577,2024-04-19 09:04:22,"Av. Bento do Sacramento, 357 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",1,40,-23.53628500,-46.20812200,
FAH6577,2024-04-19 09:04:12,"Av. Bento do Sacramento, 322 - Vila Lavinia, Mogi das Cruzes - SP, 08737-020, Br",21,40,-23.53607000,-46.20816000,
FAH6577,2024-04-19 09:04:10,"Av. Bento do Sacramento, 322 - Vila Lavinia, Mogi das Cruzes - SP, 08737-020, Br",27,40,-23.53595000,-46.20818700,
FAH6577,2024-04-19 09:04:08,"Av. Bento do Sacramento, 322 - Vila Lavinia, Mogi das Cruzes - SP, 08737-020, Br",31,40,-23.53580800,-46.20822500,
FAH6577,2024-04-19 09:04:04,"Av. Bento do Sacramento, 254 - Vila Lavinia, Mogi das Cruzes - SP, 08737-010, Br",31,40,-23.53549300,-46.20829800,
