PLACA,DATA,LOCAL,VELOCIDADE,VELOCIDADE VIA,LATITUDE,LONGITUDE,ULTRAPASSADO
FAH6577,2024-04-18 23:59:22,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",0,40,-23.53008700,-46.19039500,
FAH6577,2024-04-18 23:58:41,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",0,40,-23.53008700,-46.19039500,
FAH6577,2024-04-18 22:58:41,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",0,40,-23.53011500,-46.19058000,
FAH6577,2024-04-18 21:59:05,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",2,40,-23.53011500,-46.19058000,
FAH6577,2024-04-18 21:58:41,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",2,40,-23.53011500,-46.19058000,
FAH6577,2024-04-18 20:59:22,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",1,40,-23.53011500,-46.19058000,
FAH6577,2024-04-18 20:58:41,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",1,40,-23.53011500,-46.19058000,
FAH6577,2024-04-18 19:58:59,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",9,40,-23.53011500,-46.19058000,
FAH6577,2024-04-18 19:58:41,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",9,40,-23.53011500,-46.19058000,
FAH6577,2024-04-18 18:58:41,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",9,40,-23.53011500,-46.19058000,
FAH6577,2024-04-18 17:59:44,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",5,40,-23.53011500,-46.19058000,
FAH6577,2024-04-18 17:58:41,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",1,40,-23.53011500,-46.19058000,
FAH6577,2024-04-18 17:57:44,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",4,40,-23.53027800,-46.19051200,
FAH6577,2024-04-18 17:57:39,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",4,40,-23.53027800,-46.19051200,
FAH6577,2024-04-18 17:55:44,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",2,40,-23.53005200,-46.19066500,
FAH6577,2024-04-18 17:55:43,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",0,40,-23.53005700,-46.19062900,
FAH6577,2024-04-18 17:55:39,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",0,40,-23.53006000,-46.19062000,
FAH6577,2024-04-18 17:53:39,"R. Rafael Fernandes, 153 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",0,40,-23.53011500,-46.19058000,
FAH6577,2024-04-18 17:53:11,"R. Rafael Fernandes, 161 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",10,40,-23.53022800,-46.19073200,
FAH6577,2024-04-18 17:53:03,"R. Rafael Fernandes, 161 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",16,40,-23.53041000,-46.19096300,
FAH6577,2024-04-18 17:52:53,"R. Rafael Fernandes, 222 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",11,40,-23.53056500,-46.19116800,
FAH6577,2024-04-18 17:52:47,"R. Rafael Fernandes, 222 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",23,40,-23.53073300,-46.19143200,
FAH6577,2024-04-18 17:52:38,"R. Rafael Fernandes, 293 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",6,40,-23.53086800,-46.19166800,
FAH6577,2024-04-18 17:52:31,"R. Rafael Fernandes, 293 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, B",24,40,-23.53103000,-46.19189800,
FAH6577,2024-04-18 17:52:26,"Av. Brasil, 203 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-260, Brasil",18,40,-23.53121300,-46.19212700,
FAH6577,2024-04-18 17:52:14,"Av. Brasil, 203 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-260, Brasil",10,40,-23.53126500,-46.19236700,
