PLACA,DATA,LOCAL,VELOCIDADE,VELOCIDADE VIA,LATITUDE,LONGITUDE,ULTRAPASSADO
GCB1E08,2024-04-18 13:31:58,"Est Municipal, 1155 ao 1185 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54600200,-45.98243000,
GCB1E08,2024-04-18 13:31:35,"Est Municipal, 1155 ao 1185 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54600300,-45.98243800,
GCB1E08,2024-04-18 13:31:05,"Est Municipal, 1155 ao 1185 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54597500,-45.98246600,
GCB1E08,2024-04-18 13:30:35,"Est Municipal, 1155 ao 1185 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54594000,-45.98248000,
GCB1E08,2024-04-18 13:30:05,"Est Municipal, 1155 ao 1185 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54589700,-45.98250100,
GCB1E08,2024-04-18 13:29:35,"Est Municipal, 1155 ao 1185 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54591700,-45.98246500,
GCB1E08,2024-04-18 13:29:05,"Est Municipal, 1155 ao 1185 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54591000,-45.98246700,
GCB1E08,2024-04-18 13:28:35,"Est Municipal, 1155 ao 1185 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54596400,-45.98244300,
GCB1E08,2024-04-18 13:22:52,"Est Municipal, 1155 ao 1185 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",1,50,-23.54586800,-45.98242300,
GCB1E08,2024-04-18 13:22:37,"Est Municipal, 1155 ao 1185 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54591500,-45.98241100,
GCB1E08,2024-04-18 13:22:07,"Est Municipal, 1155 ao 1185 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54596000,-45.98241700,
