PLACA,DATA,LOCAL,VELOCIDADE,VELOCIDADE VIA,LATITUDE,LONGITUDE,ULTRAPASSADO
FAH6577,2024-04-17 23:41:34,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",0,40,-23.52990700,-46.19026300,
FAH6577,2024-04-17 22:41:48,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",3,40,-23.52990700,-46.19026300,
FAH6577,2024-04-17 22:41:34,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",3,40,-23.52990700,-46.19026300,
FAH6577,2024-04-17 21:41:34,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",1,40,-23.52990700,-46.19026300,
FAH6577,2024-04-17 20:42:06,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",1,40,-23.52990700,-46.19026300,
FAH6577,2024-04-17 20:41:34,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",1,40,-23.52990700,-46.19026300,
FAH6577,2024-04-17 19:41:42,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",1,40,-23.52990700,-46.19026300,
FAH6577,2024-04-17 19:41:34,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",1,40,-23.52990700,-46.19026300,
FAH6577,2024-04-17 18:44:59,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",5,40,-23.52990700,-46.19026300,
FAH6577,2024-04-17 18:42:59,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",5,40,-23.52990700,-46.19026300,
FAH6577,2024-04-17 18:41:34,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",3,40,-23.52990700,-46.19026300,
FAH6577,2024-04-17 18:41:24,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",3,40,-23.52990700,-46.19026300,
FAH6577,2024-04-17 18:40:59,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",1,40,-23.53009300,-46.19063200,
FAH6577,2024-04-17 18:40:58,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",0,40,-23.53009900,-46.19061200,
FAH6577,2024-04-17 18:39:24,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",0,40,-23.53005800,-46.19059600,
FAH6577,2024-04-17 18:38:10,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",12,40,-23.53009000,-46.19049500,
FAH6577,2024-04-17 18:37:24,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",0,40,-23.52990600,-46.19023100,
FAH6577,2024-04-17 18:36:37,"R. Rafael Fernandes, 95 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",0,40,-23.52990700,-46.19026300,
FAH6577,2024-04-17 18:36:24,"R. Rafael Fernandes, 23 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",24,40,-23.52979000,-46.19003800,
FAH6577,2024-04-17 18:36:20,"R. Rafael Fernandes, 23 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-280, Br",24,40,-23.52964700,-46.18981500,
FAH6577,2024-04-17 18:36:15,"R. Pres. Getúlio Vargas, 47 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08715-40",18,60,-23.52947800,-46.18955000,
FAH6577,2024-04-17 18:36:09,"R. Pres. Getúlio Vargas, 47 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08715-40",22,60,-23.52952000,-46.18927500,
FAH6577,2024-04-17 18:36:04,"Av. José Glicério de Melo, 29 - Alto da Boa Vista, Mogi das Cruzes - SP, 08715",27,60,-23.52967000,-46.18902700,
FAH6577,2024-04-17 18:36:01,"Av. José Glicério de Melo, 29 - Alto da Boa Vista, Mogi das Cruzes - SP, 08715",27,60,-23.52972500,-46.18881200,
FAH6577,2024-04-17 18:35:57,"Av. José Glicério de Melo, 85 - Alto da Boa Vista, Mogi das Cruzes - SP, 08715",30,60,-23.52988000,-46.18852500,
FAH6577,2024-04-17 18:35:53,"Av. José Glicério de Melo, 85 - Alto da Boa Vista, Mogi das Cruzes - SP, 08715",20,60,-23.53005300,-46.18826700,
FAH6577,2024-04-17 18:35:45,"Av. José Glicério de Melo, 163 - Alto da Boa Vista, Mogi das Cruzes - SP, 0871",15,60,-23.53018700,-46.18801200,
FAH6577,2024-04-17 18:35:24,"Av. José Glicério de Melo, 163 - Alto da Boa Vista, Mogi das Cruzes - SP, 0871",0,60,-23.53024300,-46.18793100,
FAH6577,2024-04-17 18:35:08,"Av. José Glicério de Melo, 163 - Alto da Boa Vista, Mogi das Cruzes - SP, 0871",13,60,-23.53032500,-46.18779200,
FAH6577,2024-04-17 18:35:00,"Rua Maria Gaudência de SantAna, 223a - Alto da Boa Vista, Mogi das Cruzes - SP,",22,60,-23.53044700,-46.18756300,
FAH6577,2024-04-17 18:34:55,"Rua Maria Gaudência de SantAna, 223a - Alto da Boa Vista, Mogi das Cruzes - SP,",22,60,-23.53063300,-46.18729200,
FAH6577,2024-04-17 18:34:50,"Rua Maria Gaudência de SantAna, 275 - Alto da Boa Vista, Mogi das Cruzes - SP,",16,40,-23.53087000,-46.18719500,
FAH6577,2024-04-17 18:34:42,"Rua Maria Gaudência de SantAna, 275 - Alto da Boa Vista, Mogi das Cruzes - SP,",14,40,-23.53113200,-46.18716800,
FAH6577,2024-04-17 18:34:37,"Rua Maria Gaudência de SantAna, 333 - Alto da Boa Vista, Mogi das Cruzes - SP,",26,40,-23.53136800,-46.18715200,
