PLACA,DATA,LOCAL,VELOCIDADE,VELOCIDADE VIA,LATITUDE,LONGITUDE,ULTRAPASSADO
GCB1E08,2024-04-17 23:17:37,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54611200,-45.98209500,
GCB1E08,2024-04-17 22:17:37,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54620500,-45.98243600,
GCB1E08,2024-04-17 21:17:37,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54603900,-45.98243700,
GCB1E08,2024-04-17 20:17:37,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54605500,-45.98249400,
GCB1E08,2024-04-17 19:17:37,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54578300,-45.98261200,
GCB1E08,2024-04-17 18:17:37,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54592300,-45.98211200,
GCB1E08,2024-04-17 17:17:37,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54596800,-45.98258700,
GCB1E08,2024-04-17 16:17:37,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54601200,-45.98245100,
GCB1E08,2024-04-17 16:17:18,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54601600,-45.98246100,
GCB1E08,2024-04-17 16:16:48,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54602200,-45.98246900,
GCB1E08,2024-04-17 16:16:48,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54602200,-45.98246900,
GCB1E08,2024-04-17 16:16:48,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54602200,-45.98246900,
GCB1E08,2024-04-17 16:16:48,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54602200,-45.98246900,
GCB1E08,2024-04-17 16:16:48,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54602200,-45.98246900,
GCB1E08,2024-04-17 16:14:18,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54602500,-45.98252700,
GCB1E08,2024-04-17 16:14:18,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54602500,-45.98252700,
GCB1E08,2024-04-17 16:14:18,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54602500,-45.98252700,
GCB1E08,2024-04-17 16:14:18,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54602500,-45.98252700,
GCB1E08,2024-04-17 16:14:18,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54602500,-45.98252700,
GCB1E08,2024-04-17 16:11:48,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54612600,-45.98227800,
GCB1E08,2024-04-17 16:11:48,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54612600,-45.98227800,
GCB1E08,2024-04-17 16:11:48,"Est Municipal, 1129 ao 1153 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",0,50,-23.54612600,-45.98227800,
GCB1E08,2024-04-17 16:09:18,"Unnamed Road, Biritiba-Mirim - SP, 08940-000, Brasil",0,50,-23.54533100,-45.98279900,
GCB1E08,2024-04-17 16:09:18,"Unnamed Road, Biritiba-Mirim - SP, 08940-000, Brasil",0,50,-23.54533100,-45.98279900,
GCB1E08,2024-04-17 16:09:18,"Unnamed Road, Biritiba-Mirim - SP, 08940-000, Brasil",0,50,-23.54533100,-45.98279900,
GCB1E08,2024-04-17 16:09:18,"Unnamed Road, Biritiba-Mirim - SP, 08940-000, Brasil",0,50,-23.54533100,-45.98279900,
GCB1E08,2024-04-17 16:09:18,"Unnamed Road, Biritiba-Mirim - SP, 08940-000, Brasil",0,50,-23.54533100,-45.98279900,
GCB1E08,2024-04-17 16:02:56,"Unnamed Road, Biritiba-Mirim - SP, 08940-000, Brasil",0,50,-23.54531300,-45.98276500,
GCB1E08,2024-04-17 16:02:56,"Unnamed Road, Biritiba-Mirim - SP, 08940-000, Brasil",0,50,-23.54531300,-45.98276500,
GCB1E08,2024-04-17 16:02:56,"Unnamed Road, Biritiba-Mirim - SP, 08940-000, Brasil",0,50,-23.54531300,-45.98276500,
GCB1E08,2024-04-17 16:02:56,"Unnamed Road, Biritiba-Mirim - SP, 08940-000, Brasil",0,50,-23.54531300,-45.98276500,
GCB1E08,2024-04-17 16:02:56,"Unnamed Road, Biritiba-Mirim - SP, 08940-000, Brasil",0,50,-23.54531300,-45.98276500,
GCB1E08,2024-04-17 16:00:26,"Est Municipal, 1429 ao 1461 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",19,50,-23.54599700,-45.98344300,
GCB1E08,2024-04-17 15:59:26,"Est Municipal, 1098 ao 1126 - Est Municipal, Biritiba Mirim - SP, 08940000, Bras",38,50,-23.54606800,-45.98104500,
